,anoFundacao,intervaloFundacao
378,2015.0,De 0 a 5 anos
379,2013.0,De 6 a 10 anos
380,2008.0,De 11 a 16 anos
381,2017.0,De 0 a 5 anos
382,1993.0,Acima de 17 anos
383,2013.0,De 6 a 10 anos
384,1994.0,Acima de 17 anos
385,2008.0,De 11 a 16 anos
386,1967.0,Acima de 17 anos
387,1991.0,Acima de 17 anos
388,1951.0,Acima de 17 anos
389,1951.0,Acima de 17 anos
390,1981.0,Acima de 17 anos
391,2018.0,De 0 a 5 anos
392,2001.0,Acima de 17 anos
393,2018.0,De 0 a 5 anos
394,2004.0,De 11 a 16 anos
395,2012.0,De 6 a 10 anos
396,1987.0,Acima de 17 anos
397,1992.0,Acima de 17 anos
398,2016.0,De 0 a 5 anos
399,2008.0,De 11 a 16 anos
400,2006.0,De 11 a 16 anos
401,2000.0,Acima de 17 anos
402,2008.0,De 11 a 16 anos
403,2009.0,De 11 a 16 anos
404,2013.0,De 6 a 10 anos
405,1984.0,Acima de 17 anos
406,2019.0,De 0 a 5 anos
407,2017.0,De 0 a 5 anos
408,2019.0,De 0 a 5 anos
409,1972.0,Acima de 17 anos
410,2011.0,De 6 a 10 anos
411,2017.0,De 0 a 5 anos
412,2018.0,De 0 a 5 anos
413,2000.0,Acima de 17 anos
414,1995.0,Acima de 17 anos
415,2005.0,De 11 a 16 anos
416,2003.0,Acima de 17 anos
417,2018.0,De 0 a 5 anos
418,1984.0,Acima de 17 anos
419,2001.0,Acima de 17 anos
420,1986.0,Acima de 17 anos
421,2016.0,De 0 a 5 anos
422,2009.0,De 11 a 16 anos
423,1998.0,Acima de 17 anos
424,2017.0,De 0 a 5 anos
425,2012.0,De 6 a 10 anos
426,2006.0,De 11 a 16 anos
427,2006.0,De 11 a 16 anos
428,2000.0,Acima de 17 anos
429,2005.0,De 11 a 16 anos
430,2000.0,Acima de 17 anos
431,2010.0,De 6 a 10 anos
432,2001.0,Acima de 17 anos
433,2014.0,De 6 a 10 anos
434,2002.0,Acima de 17 anos
435,2012.0,De 6 a 10 anos
436,2008.0,De 11 a 16 anos
437,1986.0,Acima de 17 anos
438,1968.0,Acima de 17 anos
439,1999.0,Acima de 17 anos
440,2009.0,De 11 a 16 anos
441,2009.0,De 11 a 16 anos
442,1984.0,Acima de 17 anos
443,2011.0,De 6 a 10 anos
444,2013.0,De 6 a 10 anos
445,2008.0,De 11 a 16 anos
446,1996.0,Acima de 17 anos
447,2017.0,De 0 a 5 anos
448,2013.0,De 6 a 10 anos
449,2007.0,De 11 a 16 anos
450,2010.0,De 6 a 10 anos
451,2014.0,De 6 a 10 anos
452,2017.0,De 0 a 5 anos
453,2000.0,Acima de 17 anos
454,2013.0,De 6 a 10 anos
455,2009.0,De 11 a 16 anos
456,1984.0,Acima de 17 anos
457,1991.0,Acima de 17 anos
458,1997.0,Acima de 17 anos
459,,
460,2005.0,De 11 a 16 anos
461,2013.0,De 6 a 10 anos
462,2018.0,De 0 a 5 anos
463,2008.0,De 11 a 16 anos
464,2012.0,De 6 a 10 anos
465,2010.0,De 6 a 10 anos
466,1999.0,Acima de 17 anos
467,2002.0,Acima de 17 anos
468,2004.0,De 11 a 16 anos
469,2000.0,Acima de 17 anos
470,2015.0,De 0 a 5 anos
471,,
472,2005.0,De 11 a 16 anos
473,2001.0,Acima de 17 anos
474,1997.0,Acima de 17 anos
475,2014.0,De 6 a 10 anos
476,1998.0,Acima de 17 anos
477,2006.0,De 11 a 16 anos
478,2007.0,De 11 a 16 anos
479,2015.0,De 0 a 5 anos
480,2018.0,De 0 a 5 anos
481,2000.0,Acima de 17 anos
482,2017.0,De 0 a 5 anos
483,2007.0,De 11 a 16 anos
484,2003.0,Acima de 17 anos
485,1997.0,Acima de 17 anos
486,2013.0,De 6 a 10 anos
487,2001.0,Acima de 17 anos
488,1995.0,Acima de 17 anos
489,2003.0,Acima de 17 anos
490,2007.0,De 11 a 16 anos
491,2014.0,De 6 a 10 anos
492,1985.0,Acima de 17 anos
493,2017.0,De 0 a 5 anos
494,1999.0,Acima de 17 anos
495,1998.0,Acima de 17 anos
496,2009.0,De 11 a 16 anos
497,1995.0,Acima de 17 anos
498,2001.0,Acima de 17 anos
499,2000.0,Acima de 17 anos
500,2014.0,De 6 a 10 anos
501,2017.0,De 0 a 5 anos
502,2013.0,De 6 a 10 anos
503,1998.0,Acima de 17 anos
504,2001.0,Acima de 17 anos
505,1988.0,Acima de 17 anos
506,2007.0,De 11 a 16 anos
507,1996.0,Acima de 17 anos
508,2019.0,De 0 a 5 anos
509,2008.0,De 11 a 16 anos
510,2007.0,De 11 a 16 anos
511,2008.0,De 11 a 16 anos
512,1983.0,Acima de 17 anos
513,2012.0,De 6 a 10 anos
514,2009.0,De 11 a 16 anos
515,2014.0,De 6 a 10 anos
516,2012.0,De 6 a 10 anos
517,2011.0,De 6 a 10 anos
518,2003.0,Acima de 17 anos
519,2015.0,De 0 a 5 anos
